iter	Passed	Remaining
0	1	160
1	2	139
2	3	122
3	4	111
4	5	106
5	6	101
6	7	97
7	8	94
8	9	92
9	9	89
10	10	87
11	11	85
12	12	84
13	13	82
14	14	80
15	15	79
16	15	78
17	17	79
18	18	78
19	19	76
20	20	75
21	21	74
22	21	73
23	22	72
24	23	71
25	24	69
26	25	68
27	26	67
28	27	66
29	27	65
30	28	64
31	29	62
32	30	61
33	31	60
34	32	60
35	34	60
36	35	59
37	36	59
38	37	58
39	37	56
40	38	55
41	39	54
42	40	53
43	41	52
44	42	51
45	43	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	49	45
52	50	44
53	51	43
54	52	42
55	53	41
56	54	40
57	55	39
58	55	38
59	56	37
60	57	36
61	58	35
62	59	34
63	60	33
64	61	32
65	62	31
66	62	30
67	64	30
68	65	29
69	66	28
70	67	27
71	69	26
72	70	25
73	71	24
74	71	23
75	72	23
76	73	22
77	74	21
78	75	20
79	76	19
80	77	18
81	78	17
82	80	16
83	81	15
84	82	14
85	83	13
86	84	12
87	84	11
88	85	10
89	86	9
90	87	8
91	88	7
92	89	6
93	90	5
94	90	4
95	91	3
96	92	2
97	93	1
98	94	0
99	95	0
