"","trustLevel","totalScanTimeInSeconds","grandTotal","lineItemVoids","scansWithoutRegistration","quantityModifications","scannedLineItemsPerSecond","valuePerSecond","lineItemVoidsPerPosition","fraud"
"376",1,1679,62.67,0,2,4,0.0166765932102442,0.0373257891602144,0,1
"377",5,337,9.35,3,7,3,0.0474777448071217,0.0277448071216617,0.1875,0
"378",4,661,88.58,4,4,1,0.0302571860816944,0.134009077155824,0.2,0
"379",1,521,89.61,1,0,1,0.0556621880998081,0.171996161228407,0.0344827586206897,0
"380",3,1072,89.13,0,3,1,0.00466417910447761,0.0831436567164179,0,0
"381",5,1621,53.69,0,7,1,0.0160394818013572,0.0331215299198026,0,0
"382",4,40,25.99,6,5,5,0.35,0.64975,0.428571428571429,0
"383",5,1106,13.65,4,3,3,0.00361663652802893,0.0123417721518987,1,0
"384",1,153,39.39,4,3,4,0.0849673202614379,0.257450980392157,0.307692307692308,0
"385",1,950,25.83,0,1,4,0.0315789473684211,0.0271894736842105,0,1
"386",6,1387,44.83,5,9,1,0.0108147080028839,0.0323215573179524,0.333333333333333,0
"387",5,1230,41.21,2,8,2,0.00650406504065041,0.0335040650406504,0.25,0
"388",4,982,61.84,10,3,4,0.0285132382892057,0.0629735234215886,0.357142857142857,0
"389",5,1423,41.76,10,2,2,0.0133520730850316,0.0293464511595221,0.526315789473684,0
"390",2,1228,73.68,2,6,0,0.0138436482084691,0.06,0.117647058823529,0
"391",1,1691,90.31,6,5,1,0.0124186871673566,0.0534062684801892,0.285714285714286,1
"392",6,328,56.33,1,9,0,0.0640243902439024,0.171737804878049,0.0476190476190476,0
"393",3,261,86.46,9,5,4,0.114942528735632,0.331264367816092,0.3,0
"394",6,1359,2.14,3,0,1,0.00294334069168506,0.00157468727005151,0.75,0
"395",3,1190,59.76,6,5,4,0.0210084033613445,0.050218487394958,0.24,0
"396",3,1236,80.09,3,9,3,0.0105177993527508,0.0647977346278317,0.230769230769231,0
"397",2,319,61.79,5,2,3,0.0188087774294671,0.193699059561129,0.833333333333333,0
"398",4,1260,41.49,10,4,2,0.0126984126984127,0.0329285714285714,0.625,0
"399",2,163,3.81,5,0,3,0.104294478527607,0.0233742331288344,0.294117647058824,0
"400",4,676,61.02,6,2,2,0.0118343195266272,0.0902662721893491,0.75,0
"401",3,674,50.15,11,4,0,0.0148367952522255,0.074406528189911,1.1,0
"402",5,150,87.47,5,6,2,0.0666666666666667,0.583133333333333,0.5,0
"403",6,172,3,0,6,0,0.0813953488372093,0.0174418604651163,0,0
"404",3,36,32.45,1,4,2,0.111111111111111,0.901388888888889,0.25,0
"405",3,784,98.48,3,4,0,0.0306122448979592,0.125612244897959,0.125,0
"406",2,135,29.17,3,1,5,0.192592592592593,0.216074074074074,0.115384615384615,0
